associated_gene,totalN,novelN
SLC1A1,115,22
SLC1A2,422,230
SLC1A3,554,367
SLC1A4,109,30
SLC1A5,24,5
SLC1A6,55,24
SLC1A7,5,3
SLC20A1,213,134
SLC20A2,124,55
SLC22A10,4,1
SLC22A11,1,1
SLC22A14,5,1
SLC22A15,42,10
SLC22A16,1,0
SLC22A17,416,327
SLC22A18,58,30
SLC22A2,2,1
SLC22A23,54,6
SLC22A25,1,1
SLC22A3,6,0
SLC22A4,50,24
SLC22A5,63,26
SLC22A6,18,4
SLC22A7,1,0
SLC22A8,2,0
SLC23A2,93,29
SLC24A1,18,12
SLC24A2,77,46
SLC24A3,31,0
SLC24A4,25,1
SLC24A5,1,1
SLC25A1,63,47
SLC25A10,47,28
SLC25A11,186,132
SLC25A12,322,209
SLC25A13,81,42
SLC25A14,166,98
SLC25A15,87,69
SLC25A16,74,36
SLC25A17,226,176
SLC25A18,256,188
SLC25A19,74,47
SLC25A2,1,0
SLC25A20,55,40
SLC25A21,16,5
SLC25A22,97,84
SLC25A23,239,190
SLC25A24,64,21
SLC25A25,96,25
SLC25A26,211,162
SLC25A27,258,191
SLC25A28,42,22
SLC25A29,29,12
SLC25A3,548,430
SLC25A30,32,14
SLC25A31,1,0
SLC25A32,143,55
SLC25A33,56,23
SLC25A34,6,1
SLC25A35,12,6
SLC25A36,158,56
SLC25A37,93,60
SLC25A38,98,55
SLC25A39,257,196
SLC25A4,265,230
SLC25A40,214,143
SLC25A41,13,5
SLC25A42,58,38
SLC25A43,29,13
SLC25A44,58,32
SLC25A45,15,12
SLC25A46,108,37
SLC25A48,113,78
SLC25A5,204,175
SLC25A51,365,338
SLC25A52,2,0
SLC25A53,43,23
SLC25A6,358,311
SLC26A1,6,6
SLC26A11,87,44
SLC26A2,7,3
SLC26A4,26,5
SLC26A5,4,4
SLC26A6,53,31
SLC26A7,3,0
SLC26A8,38,10
SLC26A9,4,0
SLC27A1,85,50
SLC27A2,31,2
SLC27A3,72,26
SLC27A4,122,59
SLC27A5,50,39
SLC27A6,6,2
SLC28A1,2,0
SLC28A3,1,0
SLC29A1,152,111
SLC29A2,79,47
SLC29A3,42,14
SLC29A4,57,28
SLC2A1,73,29
SLC2A10,29,10
SLC2A11,66,23
SLC2A12,40,6
SLC2A13,28,4
SLC2A3,92,46
SLC2A4,11,0
SLC2A4RG,39,7
SLC2A5,41,14
SLC2A6,98,82
SLC2A8,141,73
SLC2A9,22,15
SLC30A1,15,0
SLC30A10,36,5
SLC30A3,101,61
SLC30A4,39,9
SLC30A5,200,77
SLC30A6,51,24
SLC30A7,35,17
SLC30A9,1146,888
SLC31A1,54,24
SLC31A2,49,30
SLC32A1,18,4
SLC33A1,144,75
SLC35A1,243,177
SLC35A2,35,13
SLC35A3,77,29
SLC35A4,32,14
SLC35A5,99,55
SLC35B1,200,142
SLC35B2,51,30
SLC35B3,204,140
SLC35B4,72,59
SLC35C1,55,10
SLC35C2,301,207
SLC35D1,30,14
SLC35D2,15,3
SLC35D3,1,0
SLC35E1,75,53
SLC35E2B,214,158
SLC35E3,96,55
SLC35E4,28,5
SLC35F1,26,8
SLC35F2,40,17
SLC35F3,57,25
SLC35F4,16,3
SLC35F5,181,108
SLC35F6,78,51
SLC35G1,36,25
SLC35G2,36,16
SLC35G3,1,0
SLC35G4,1,0
SLC35G5,3,0
SLC36A1,37,26
SLC36A4,202,127
SLC37A1,108,52
SLC37A2,5,0
SLC37A3,162,115
SLC37A4,146,88
SLC38A1,163,43
SLC38A10,45,23
SLC38A11,17,14
SLC38A2,141,62
SLC38A3,121,82
SLC38A5,139,117
SLC38A6,207,142
SLC38A7,25,6
SLC38A8,23,16
SLC38A9,128,86
SLC39A1,55,38
SLC39A10,190,75
SLC39A11,70,44
SLC39A12,114,37
SLC39A13,140,93
SLC39A14,50,20
SLC39A2,3,0
SLC39A3,44,35
SLC39A4,40,14
SLC39A6,172,104
SLC39A7,42,12
SLC39A8,79,14
SLC39A9,91,33
SLC3A1,1,0
SLC3A2,301,205
SLC40A1,53,21
SLC41A1,67,34
SLC41A2,53,21
SLC41A3,252,155
SLC43A1,32,12
SLC43A2,58,50
SLC43A3,71,46
SLC44A1,126,41
SLC44A2,323,186
SLC44A3,55,21
SLC44A5,22,3
SLC45A1,85,45
SLC45A2,1,0
SLC45A3,17,9
SLC45A4,5,0
SLC46A1,47,18
SLC46A2,9,0
SLC46A3,57,19
SLC47A1,15,8
SLC47A2,4,2
SLC48A1,90,58
SLC49A3,15,10
SLC49A4,65,8
SLC4A1,7,2
SLC4A10,826,416
SLC4A11,22,5
SLC4A1AP,310,233
SLC4A2,75,19
SLC4A3,198,118
SLC4A4,124,55
SLC4A5,6,1
SLC4A7,75,17
SLC4A8,194,65
SLC4A9,2,2
SLC50A1,85,44
SLC51A,7,7
SLC51B,6,3
SLC52A1,1,0
SLC52A2,80,32
SLC52A3,15,3
SLC5A11,62,30
SLC5A2,11,4
SLC5A3,15,7
SLC5A4,1,1
SLC5A6,150,126
SLC5A7,6,2
SLC5A8,3,2
SLC5A9,1,0
SLC66A1,77,38
SLC66A2,68,32
SLC66A3,66,26
SLC6A1,115,45
SLC6A11,103,45
SLC6A12,63,35
SLC6A13,31,14
SLC6A15,200,64
SLC6A16,4,1
SLC6A17,78,47
SLC6A20,6,0
SLC6A4,2,0
SLC6A6,19,12
SLC6A7,63,23
SLC6A8,86,24
SLC6A9,69,53
SLC7A1,27,13
SLC7A10,50,22
SLC7A11,36,3
SLC7A14,33,17
SLC7A3,27,5
SLC7A4,30,11
SLC7A5,24,6
SLC7A6,56,17
SLC7A6OS,91,49
SLC7A7,22,3
SLC7A8,52,21
SLC7A9,14,1
SLC8A1,78,43
SLC8A2,69,41
SLC8A3,49,17
SLC8B1,48,21
SLC9A1,38,8
SLC9A2,1,0
SLC9A4,5,4
SLC9A5,53,27
SLC9A6,165,117
SLC9A7,22,15
SLC9A8,52,22
SLC9A9,107,71
SLC9B1,23,14
SLC9B2,270,128
SLC9C2,6,6
SLCO1A2,76,37
SLCO1C1,253,119
SLCO2A1,21,1
SLCO2B1,111,23
SLCO3A1,99,36
SLCO4A1,94,35
SLCO4C1,3,0
SLCO5A1,47,14
SLCO6A1,3,1
SLF1,364,170
SLF2,342,118
SLFN11,6,1
SLFN12,10,2
SLFN12L,1,1
SLFN13,1,0
SLFN5,12,0
SLFNL1,1,0
SLIRP,177,137
SLIT1,138,53
SLIT2,79,6
SLIT3,51,6
SLITRK1,11,9
SLITRK2,70,51
SLITRK3,26,3
SLITRK4,22,4
SLITRK5,38,19
SLITRK6,6,0
SLK,176,14
SLMAP,164,39
SLN,26,14
SLPI,11,8
SLTM,579,352
SLU7,240,136
SLURP2,3,0
SLX1A,84,35
SLX1B,76,28
SLX4,32,7
SLX4IP,20,13
SMAD1,57,20
SMAD2,209,94
SMAD3,49,13
SMAD4,121,47
SMAD5,70,6
SMAD6,5,1
SMAD7,14,3
SMAD9,69,30
SMAGP,12,3
SMAP1,250,167
SMAP2,183,113
SMARCA1,514,294
SMARCA2,563,191
SMARCA4,435,79
SMARCA5,450,125
SMARCAD1,258,86
SMARCAL1,160,118
SMARCB1,147,87
SMARCC1,257,78
SMARCC2,480,167
SMARCD1,108,56
SMARCD2,37,14
SMARCD3,253,211
SMARCE1,1258,785
SMC1A,235,133
SMC1B,1,1
SMC2,369,126
SMC3,518,334
SMC4,347,108
SMC5,245,122
SMC6,191,46
SMCHD1,199,26
SMCO2,4,2
SMCO4,34,23
SMCR8,7,0
SMDT1,55,38
SMG1,124,15
SMG5,125,95
SMG6,82,37
SMG7,118,33
SMG8,67,16
SMG9,93,53
SMIM1,14,1
SMIM10,30,2
SMIM10L1,117,3
SMIM10L2A,18,2
SMIM10L2B,10,7
SMIM12,47,33
SMIM13,16,7
SMIM14,284,233
SMIM15,116,76
SMIM17,36,17
SMIM18,44,27
SMIM19,107,37
SMIM20,64,39
SMIM24,19,6
SMIM26,52,45
SMIM27,29,16
SMIM29,151,112
SMIM3,13,4
SMIM30,27,7
SMIM32,16,0
SMIM38,3,0
SMIM41,1,0
SMIM43,84,66
SMIM5,9,3
SMIM6,8,1
SMIM7,365,247
SMIM8,226,141
SMKR1,16,5
SMN1,104,56
SMN2,99,43
SMNDC1,199,145
SMO,36,6
SMOC1,10,2
SMOC2,26,9
SMOX,106,49
SMPD1,88,30
SMPD2,60,39
SMPD3,31,7
SMPD4,105,56
SMPDL3A,117,79
SMPDL3B,7,2
SMPX,12,0
SMS,368,325
SMTN,98,28
SMTNL2,11,4
SMU1,244,129
SMUG1,191,133
SMURF1,74,43
SMURF2,499,295
SMYD1,1,1
SMYD2,141,109
SMYD3,65,40
SMYD4,60,27
SMYD5,100,62
SNAI1,5,0
SNAI2,17,3
SNAI3,10,8
SNAP23,127,85
SNAP25,2847,2691
SNAP29,66,21
SNAP47,221,140
SNAP91,1107,849
SNAPC1,78,27
SNAPC2,39,21
SNAPC3,359,206
SNAPC4,42,12
SNAPC5,74,22
SNAPIN,124,94
SNCA,1303,1093
SNCAIP,264,158
SNCB,374,330
SNCG,202,171
SND1,434,302
SNED1,40,17
SNF8,143,73
SNHG32,104,59
SNIP1,39,14
SNN,58,53
SNORC,38,17
SNPH,34,16
SNRK,73,24
SNRNP200,362,228
SNRNP25,94,51
SNRNP27,290,215
SNRNP35,115,85
SNRNP40,122,82
SNRNP48,82,18
SNRNP70,290,115
SNRPA,75,50
SNRPA1,201,145
SNRPB,189,147
SNRPB2,238,167
SNRPC,122,89
SNRPD1,207,168
SNRPD2,104,82
SNRPD3,464,430
SNRPE,170,125
SNRPF,107,69
SNRPG,150,113
SNRPN,928,833
SNTA1,81,57
SNTB1,8,0
SNTB2,13,9
SNTG1,276,112
SNTG2,13,5
SNTN,2,1
SNU13,144,113
SNUPN,89,63
SNURF,100,71
SNW1,248,162
SNX1,237,175
SNX10,222,166
SNX11,89,61
SNX12,34,21
SNX13,150,60
SNX14,282,146
SNX15,77,51
SNX16,101,34
SNX17,309,228
SNX18,19,3
SNX19,132,63
SNX2,371,315
SNX20,2,0
SNX21,93,89
SNX22,60,54
SNX24,53,30
SNX25,69,18
SNX27,131,31
SNX29,40,20
SNX3,336,281
SNX30,9,0
SNX31,2,2
SNX32,272,234
SNX33,32,1
SNX4,245,189
SNX5,286,190
SNX6,510,394
SNX7,217,138
SNX8,49,34
SNX9,99,19
SOAT1,119,65
SOBP,120,77
SOCS1,1,0
SOCS2,76,24
SOCS3,4,0
SOCS4,32,6
SOCS5,44,7
SOCS6,29,14
SOCS7,6,1
SOD1,328,284
SOD2,364,304
SOD3,2,1
SOGA1,17,9
SOGA3,107,40
SOHLH1,47,33
SOHLH2,12,1
SON,744,355
SORBS1,155,63
SORBS2,233,120
SORBS3,103,50
SORCS1,35,15
SORCS2,33,20
SORCS3,47,3
SORD,92,52
SORL1,183,60
SORT1,141,31
SOS1,110,23
SOS2,101,13
SOSTDC1,29,4
SOWAHA,44,2
SOWAHB,58,2
SOWAHC,90,6
SOWAHD,7,0
SOX1,97,3
SOX10,6,0
SOX11,297,93
SOX12,85,3
SOX13,27,5
SOX14,7,0
SOX15,19,17
SOX17,3,0
SOX2,167,128
SOX21,21,0
SOX3,7,2
SOX30,7,7
SOX4,379,294
SOX5,300,117
SOX6,29,13
SOX7,4,0
SOX8,17,1
SOX9,141,139
SP1,22,5
SP100,53,20
SP110,73,26
SP140,6,3
SP140L,14,4
SP2,72,36
SP3,172,69
SP4,113,17
SP8,4,3
SP9,2,2
SPA17,62,35
SPAAR,5,0
SPACA5,4,3
SPACA6,78,46
SPACA9,73,42
SPAG1,52,21
SPAG16,161,98
SPAG17,8,2
SPAG4,42,21
SPAG5,124,87
SPAG6,48,25
SPAG7,133,103
SPAG8,77,51
SPAG9,536,312
SPARC,265,222
SPARCL1,1177,1029
SPART,256,108
SPAST,160,36
SPATA1,9,5
SPATA13,38,14
SPATA16,1,1
SPATA17,42,30
SPATA18,26,15
SPATA2,38,26
SPATA20,195,130
SPATA22,6,4
SPATA24,29,10
SPATA2L,22,11
SPATA31C1,4,0
SPATA33,71,33
SPATA4,11,5
SPATA48,3,0
SPATA5,56,24
SPATA5L1,59,15
SPATA6,60,18
SPATA6L,25,20
SPATA7,210,139
SPATC1L,29,17
SPATS1,9,4
SPATS2,321,147
SPATS2L,284,162
SPC24,59,50
SPC25,59,36
SPCS1,92,64
SPCS2,318,297
SPCS3,385,341
SPDEF,10,1
SPDL1,153,67
SPDYA,8,6
SPDYE11,1,1
SPDYE15,1,1
SPDYE16,1,1
SPDYE18,4,4
SPDYE2,9,9
SPDYE21,1,1
SPDYE2B,7,7
SPDYE3,2,2
SPDYE8,1,1
SPDYE9,1,1
SPECC1,206,56
SPECC1L,221,60
SPEF1,31,19
SPEF2,96,45
SPEG,76,20
SPEGNB,4,1
SPEN,201,61
SPESP1,10,3
SPG11,161,67
SPG21,123,94
SPG7,310,138
SPHK1,28,10
SPHK2,92,35
SPHKAP,117,37
SPI1,4,1
SPICE1,123,47
SPIDR,404,303
SPIN1,222,131
SPIN2A,14,7
SPIN2B,60,50
SPIN3,102,23
SPIN4,19,0
SPINDOC,39,20
SPINK13,1,1
SPINK2,7,1
SPINK5,33,19
SPINK8,29,26
SPINK9,8,7
SPINT1,9,2
SPINT2,170,133
SPIRE1,192,55
SPIRE2,154,93
SPN,4,2
SPNS1,144,82
SPNS2,99,62
SPNS3,5,2
SPOCD1,1,0
SPOCK1,72,37
SPOCK2,145,108
SPOCK3,214,142
SPON1,94,17
SPON2,38,21
SPOP,209,139
SPOPL,28,8
SPOUT1,103,69
SPP1,272,200
SPPL2A,88,54
SPPL2B,98,42
SPPL3,80,7
SPR,24,7
SPRED1,95,19
SPRED2,91,56
SPRED3,8,7
SPRING1,67,46
SPRN,6,6
SPRR2A,5,5
SPRR2D,3,3
SPRTN,81,18
SPRY1,17,5
SPRY2,36,26
SPRY3,6,2
SPRY4,10,6
SPRYD3,474,405
SPRYD4,17,8
SPRYD7,264,203
SPSB1,22,1
SPSB2,31,18
SPSB3,154,124
SPSB4,33,9
SPTAN1,1650,1254
SPTB,61,10
SPTBN1,861,478
SPTBN2,123,54
SPTBN4,115,48
SPTBN5,19,16
SPTLC1,220,128
SPTLC2,52,9
SPTLC3,3,0
SPTSSA,47,38
SPTSSB,30,29
SPTY2D1,69,23
SPX,47,7
SQLE,177,118
SQOR,30,8
SQSTM1,368,346
SRA1,136,80
SRARP,4,1
SRBD1,100,50
SRC,78,40
SRCAP,46,6
SRCIN1,17,2
SRD5A1,178,96
SRD5A3,49,16
SREBF1,50,12
SREBF2,226,100
SREK1,395,156
SREK1IP1,103,58
SRF,32,4
SRFBP1,109,48
SRGAP1,97,30
SRGAP2,190,91
SRGAP2B,121,63
SRGAP2C,126,38
SRGAP3,94,28
SRGN,24,11
SRI,476,419
SRL,2,0
SRM,56,45
SRP14,274,233
SRP19,145,87
SRP54,259,154
SRP68,202,128
SRP72,379,231
SRP9,528,487
SRPK1,331,208
SRPK2,683,464
SRPK3,44,30
SRPRA,169,143
SRPRB,110,59
SRPX,23,4
SRPX2,5,0
SRR,158,97
SRRD,88,43
SRRM1,301,202
SRRM2,410,257
SRRM3,44,22
SRRM4,102,41
SRRM5,2,2
SRRT,431,273
SRSF1,543,425
SRSF10,331,265
SRSF11,768,399
SRSF12,107,89
SRSF2,181,122
SRSF3,788,607
SRSF4,139,90
SRSF5,673,516
SRSF6,314,189
SRSF7,513,352
SRSF8,71,51
SRSF9,86,58
SRXN1,3,1
SRY,5,0
SS18,141,57
SS18L1,60,23
SS18L2,90,54
SSB,496,387
SSBP1,272,197
SSBP2,779,551
SSBP3,196,121
SSBP4,184,110
SSC4D,13,9
SSH1,11,0
SSH2,30,13
SSH3,56,26
SSNA1,41,27
SSPN,18,3
SSR1,209,162
SSR2,319,283
SSR3,146,89
SSR4,143,101
SSRP1,353,225
SST,22,16
SSTR1,8,2
SSTR2,63,50
SSTR3,7,4
SSTR4,29,0
SSU72,73,45
SSUH2,4,0
SSX2IP,349,141
ST13,614,484
ST14,18,1
ST18,270,150
ST20-MTHFS,32,25
ST3GAL1,35,10
ST3GAL2,71,19
ST3GAL3,237,140
ST3GAL4,78,42
ST3GAL5,170,80
ST3GAL6,229,125
ST6GAL1,69,25
ST6GAL2,32,15
ST6GALNAC1,14,3
ST6GALNAC2,2,0
ST6GALNAC3,25,9
ST6GALNAC4,135,119
ST6GALNAC5,106,44
ST6GALNAC6,189,135
ST7,272,164
ST7L,205,115
ST8SIA1,59,21
ST8SIA2,53,9
ST8SIA3,68,7
ST8SIA4,78,19
ST8SIA5,83,45
ST8SIA6,2,1
STAB1,57,25
STAC,23,8
STAC2,28,9
STAC3,16,7
STAG1,661,331
STAG2,246,88
STAG3,17,10
STAM,168,76
STAM2,143,74
STAMBP,297,149
STAMBPL1,127,46
STAP2,61,49
STAR,30,21
STARD10,88,59
STARD13,98,21
STARD3,130,84
STARD3NL,291,196
STARD4,164,55
STARD5,31,10
STARD6,14,11
STARD7,155,118
STARD8,18,5
STARD9,78,12
STAT1,157,52
STAT2,113,85
STAT3,337,198
STAT4,134,96
STAT5A,17,0
STAT5B,65,19
STAT6,82,25
STAU1,447,336
STAU2,541,310
STBD1,32,3
STC1,7,0
STC2,10,0
STEAP1,19,4
STEAP1B,32,15
STEAP2,22,5
STEAP3,8,0
STEAP4,1,0
STEEP1,197,146
STIL,34,14
STIM1,78,30
STIM2,146,39
STIMATE,29,3
STIMATE-MUSTN1,11,11
STING1,55,18
STIP1,452,359
STK10,51,9
STK11,104,31
STK11IP,109,62
STK16,109,67
STK17A,119,40
STK17B,38,16
STK19,44,12
STK24,153,55
STK25,376,312
STK26,38,13
STK3,74,42
STK31,34,11
STK32A,30,9
STK32B,82,28
STK32C,98,66
STK33,126,94
STK35,17,8
STK36,125,58
STK38,85,48
STK38L,104,73
STK39,119,65
STK4,101,53
STK40,55,27
STKLD1,52,41
STMN1,1544,1452
STMN2,1113,1052
STMN3,312,290
STMN4,532,446
STMND1,6,4
STMP1,150,121
STN1,79,33
STOM,77,47
STOML1,73,50
STOML2,254,213
STOML3,8,5
STON1,42,6
STON1-GTF2A1L,11,7
STON2,25,14
STOX1,94,17
STOX2,24,2
STPG1,88,48
STPG2,3,3
STRA6,39,21
STRADA,236,150
STRADB,129,69
STRAP,440,360
STRBP,308,175
STRC,24,7
STRIP1,177,102
STRIP2,41,16
STRIT1,9,2
STRN,23,2
STRN3,94,61
STRN4,127,50
STS,25,5
STT3A,279,144
STT3B,172,31
STUB1,121,88
STUM,64,64
STX10,155,125
STX11,3,0
STX12,282,197
STX16,121,74
STX16-NPEPL1,10,7
STX17,54,20
STX18,116,58
STX19,6,5
STX1A,258,227
STX1B,94,65
STX2,116,67
STX3,85,42
STX4,136,70
STX5,109,75
STX6,198,153
STX7,304,202
STX8,123,89
STXBP1,1770,1468
STXBP2,40,7
STXBP3,210,150
STXBP4,65,25
STXBP5,152,20
STXBP5L,291,86
STXBP6,105,41
STYK1,93,55
STYX,63,26
STYXL1,156,131
SUB1,386,252
SUCLA2,352,277
SUCLG1,248,175
SUCLG2,71,39
SUCNR1,1,0
SUCO,186,70
SUDS3,147,94
SUFU,49,23
SUGCT,6,2
SUGP1,232,151
SUGP2,270,171
SUGT1,501,458
SULF1,181,27
SULF2,159,77
SULT1A1,202,132
SULT1A2,13,4
SULT1A3,83,18
SULT1A4,45,7
SULT1B1,2,1
SULT1C2,4,0
SULT1C4,65,37
SULT1E1,16,8
SULT2B1,8,5
SULT4A1,171,130
SUMF1,38,22
SUMF2,316,248
SUMO1,485,424
SUMO2,241,213
SUMO3,113,78
SUMO4,6,0
SUN1,401,291
SUN2,67,34
SUOX,65,35
SUPT16H,399,192
SUPT20H,469,277
SUPT3H,102,42
SUPT4H1,119,92
SUPT5H,442,367
SUPT6H,255,141
SUPT7L,212,114
SUPV3L1,290,213
SURF1,98,63
SURF2,131,100
SURF4,84,42
SURF6,91,60
SUSD1,72,20
SUSD2,7,1
SUSD3,12,5
SUSD4,166,95
SUSD5,26,6
SUSD6,29,6
SUV39H1,53,21
SUV39H2,129,42
SUZ12,89,17
SV2A,384,324
SV2B,176,47
SV2C,15,4
SVBP,94,66
SVEP1,38,0
SVIL,100,43
SVIP,95,47
SVOP,272,245
SVOPL,15,3
SWAP70,105,14
SWI5,35,16
SWSAP1,11,2
SWT1,152,60
SYAP1,237,143
SYBU,206,121
SYCE1,108,67
SYCE1L,38,21
SYCE2,13,7
SYCE3,4,1
SYCP2,19,16
SYCP2L,35,14
SYCP3,4,0
SYDE1,16,0
SYDE2,1,0
SYF2,215,155
SYK,9,1
SYMPK,132,63
SYN1,83,39
SYN2,115,36
SYN3,33,20
SYNC,17,7
SYNCRIP,431,203
SYNDIG1,141,126
SYNDIG1L,10,0
SYNE1,877,188
SYNE2,981,273
SYNE3,4,1
SYNE4,9,7
SYNGAP1,26,12
SYNGR1,182,138
SYNGR2,50,20
SYNGR3,32,12
SYNGR4,6,4
SYNJ1,161,48
SYNJ2,65,27
SYNJ2BP,74,43
SYNJ2BP-COX16,17,11
SYNM,64,4
SYNPO,48,42
SYNPO2,19,3
SYNPR,196,151
SYNRG,89,43
SYP,1274,1185
SYPL1,77,47
SYPL2,1,0
SYS1,38,16
SYS1-DBNDD2,57,42
SYT1,571,415
SYT10,10,1
SYT11,446,429
SYT12,44,15
SYT13,52,20
SYT14,122,40
SYT15,7,4
SYT16,51,20
SYT17,188,141
SYT2,16,4
SYT3,92,60
SYT4,167,83
SYT5,240,154
SYT6,109,52
SYT7,34,5
SYT9,40,16
SYTL1,8,5
SYTL2,322,169
SYTL3,26,15
SYTL4,60,29
SYTL5,16,5
SYVN1,49,23
SZRD1,95,52
SZT2,79,19
TAAR6,1,0
TAAR8,1,0
TAAR9,1,0
TAB1,258,202
TAB2,122,34
TAB3,15,3
TAC1,216,167
TAC3,37,27
TACC1,193,83
TACC2,348,211
TACC3,122,52
TACO1,45,14
TACR1,9,1
TACR2,13,1
TACR3,2,1
TACSTD2,5,0
TADA1,129,85
TADA2A,166,129
TADA2B,20,4
TADA3,152,123
TAF1,113,26
TAF10,26,16
TAF11,97,64
TAF12,81,45
TAF13,359,344
TAF15,95,34
TAF1A,78,49
TAF1B,151,48
TAF1C,95,59
TAF1D,372,328
TAF2,98,49
TAF3,41,18
TAF4,26,18
TAF4B,39,14
TAF5,68,16
TAF5L,23,4
TAF6,290,254
TAF6L,32,16
TAF7,67,65
TAF7L,17,9
TAF8,54,36
TAF9,80,61
TAF9B,107,67
TAFA1,27,9
TAFA2,78,48
TAFA3,5,3
TAFA4,29,29
TAFA5,55,35
TAGAP,7,1
TAGLN,49,16
TAGLN2,63,52
TAGLN3,452,385
TAL1,5,4
TAL2,13,9
TALDO1,209,177
TAMALIN,1,0
TAMM41,131,95
TANC1,46,11
TANC2,60,29
TANGO2,175,130
TANGO6,104,32
TANK,213,116
TAOK1,81,11
TAOK2,86,27
TAOK3,238,109
TAP1,14,0
TAP2,3,0
TAPBP,36,14
TAPBPL,43,16
TAPT1,80,11
TARBP1,202,113
TARBP2,167,112
TARDBP,915,740
TARS1,292,149
TARS2,669,606
TARS3,238,66
TAS1R1,1,0
TAS1R3,1,0
TAS2R13,1,0
TAS2R14,13,11
TAS2R19,10,0
TAS2R20,13,0
TAS2R30,1,0
TAS2R31,1,0
TAS2R39,1,0
TAS2R4,64,0
TAS2R42,3,0
TAS2R5,10,2
TAS2R8,3,0
TASL,11,3
TASOR,144,30
TASOR2,147,30
TASP1,225,148
TATDN1,247,192
TATDN2,78,10
TATDN3,294,196
TAX1BP1,795,529
TAX1BP3,125,117
TBC1D1,222,93
TBC1D10A,42,29
TBC1D10B,56,12
TBC1D10C,1,1
TBC1D12,47,6
TBC1D13,81,49
TBC1D14,217,149
TBC1D15,257,84
TBC1D16,55,35
TBC1D17,227,163
TBC1D19,196,101
TBC1D2,33,8
TBC1D20,95,17
TBC1D22A,355,258
TBC1D22B,62,28
TBC1D23,157,64
TBC1D24,76,56
TBC1D25,89,45
TBC1D26,13,7
TBC1D2B,20,0
TBC1D3,6,3
TBC1D30,83,30
TBC1D31,171,96
TBC1D32,101,46
TBC1D3C,4,1
TBC1D3D,23,9
TBC1D3E,10,2
TBC1D3G,3,0
TBC1D3H,3,0
TBC1D3I,1,1
TBC1D3K,2,0
TBC1D3L,71,44
TBC1D4,32,4
TBC1D5,86,39
TBC1D7,236,196
TBC1D8,89,65
TBC1D8B,15,2
TBC1D9,68,19
TBC1D9B,176,79
TBCA,104,68
TBCB,276,205
TBCC,58,44
TBCCD1,95,48
TBCD,391,287
TBCE,225,103
TBCEL,47,14
TBCEL-TECTA,1,0
TBCK,154,82
TBK1,148,81
TBKBP1,12,1
TBL1X,43,4
TBL1XR1,360,152
TBL1Y,2,1
TBL2,90,57
TBL3,166,119
TBP,123,51
TBPL1,190,122
TBR1,164,135
TBRG1,200,82
TBRG4,218,177
TBX15,3,0
TBX18,1,0
TBX19,4,0
TBX3,1,0
TBX6,11,4
TBXA2R,3,0
TBXAS1,31,8
TC2N,7,1
TCAF1,115,48
TCAF2,10,8
TCAIM,155,83
TCAP,11,0
TCEA1,303,226
TCEA2,255,188
TCEA3,60,51
TCEAL1,114,76
TCEAL2,244,217
TCEAL3,119,93
TCEAL4,614,559
TCEAL5,178,160
TCEAL6,92,70
TCEAL7,229,202
TCEAL8,147,123
TCEAL9,71,57
TCEANC,65,55
TCEANC2,45,18
TCERG1,563,186
TCERG1L,55,24
TCF12,206,67
TCF15,1,0
TCF19,27,13
TCF20,6,1
TCF25,579,441
TCF3,160,57
TCF4,1063,713
TCF7,4,3
TCF7L1,37,8
TCF7L2,188,82
TCFL5,62,47
TCHP,130,54
TCIM,79,19
TCIRG1,28,6
TCN2,55,19
TCOF1,217,132
TCP1,437,314
TCP10L,6,1
TCP11,2,0
TCP11L1,105,25
TCP11L2,60,40
TCP11X1,3,0
TCP11X2,1,0
TCTA,52,28
TCTE1,7,5
TCTN1,317,229
TCTN2,99,65
TCTN3,201,134
TDG,140,60
TDGF1,6,1
TDGF1P3,2,0
TDO2,16,14
TDP1,212,110
TDP2,191,136
TDRD1,1,0
TDRD10,5,1
TDRD3,185,106
TDRD5,4,0
TDRD6,23,9
TDRD7,113,45
TDRD9,50,15
TDRKH,211,173
TDRP,56,27
TEAD1,62,23
TEAD2,144,107
TEAD3,17,11
TEAD4,30,9
TEC,9,0
TECPR1,65,29
TECPR2,99,74
TECR,440,384
TECRL,1,1
TECTA,47,4
TECTB,1,0
TEDC1,69,39
TEDC2,59,24
TEDDM1,4,0
TEF,53,24
TEFM,69,37
TEK,71,28
TEKT1,28,9
TEKT2,76,44
TEKT3,13,11
TEKT4,5,1
TEKT5,2,1
TELO2,112,67
TEN1,30,15
TEN1-CDK3,36,31
TENM1,28,6
TENM2,62,3
TENM3,38,16
TENM4,46,17
TENT2,188,102
TENT4A,35,5
TENT4B,43,8
TENT5A,2,0
TENT5B,2,0
TENT5C,3,0
TEP1,11,4
TEPP,16,5
TEPSIN,29,14
TERF1,222,112
TERF2,114,54
TERF2IP,181,143
TERT,1,1
TES,51,20
TESC,52,32
TESK1,45,18
TESK2,23,11
TESMIN,4,3
TESPA1,510,422
TET1,69,40
TET2,19,1
TET3,3,1
TEX10,135,83
TEX101,4,3
TEX11,4,2
TEX14,8,7
TEX15,10,2
TEX2,130,42
TEX22,1,0
TEX26,63,59
TEX261,32,13
TEX264,110,79
TEX29,69,60
TEX30,95,61
TEX35,2,1
TEX45,21,15
TEX46,1,1
TEX9,147,88
TF,267,169
TFAM,116,48
TFAP2A,3,0
TFAP2B,5,1
TFAP2C,55,23
TFAP2D,16,4
TFAP2E,8,2
